frame,raw_ankle_y,old_interp,interp_new,air_old,air_new
0,0.702829,0.702829,0.702829,0,0
1,0.702242,0.702242,0.702242,0,0
2,0.702260,0.702260,0.702260,0,0
3,0.702245,0.702245,0.702245,0,0
4,0.703143,0.703143,0.703143,0,0
5,0.704622,0.704622,0.704622,0,0
6,0.708618,0.708618,0.708618,0,0
7,0.708355,0.708355,0.708355,0,0
8,0.708077,0.708077,0.708077,0,0
9,0.707780,0.707780,0.707780,0,0
10,0.706151,0.706151,0.706151,0,0
11,0.702947,0.702947,0.702947,0,0
12,0.702783,0.702783,0.702783,0,0
13,0.702783,0.702783,0.702783,0,0
14,0.701350,0.701350,0.701350,0,0
15,0.700878,0.700878,0.700878,0,0
16,0.701006,0.701006,0.701006,0,0
17,0.700562,0.700562,0.700562,0,0
18,0.700257,0.700257,0.700257,0,0
19,0.700588,0.700588,0.700588,0,0
20,0.700145,0.700145,0.700145,0,0
21,0.702370,0.702370,0.702370,0,0
22,0.702709,0.702709,0.702709,0,0
23,0.702799,0.702799,0.702799,0,0
24,0.702904,0.702904,0.702904,0,0
25,0.704571,0.704571,0.704571,0,0
26,0.706991,0.706991,0.706991,0,0
27,0.711606,0.711606,0.711606,0,0
28,0.714071,0.714071,0.714071,0,0
29,0.713662,0.713662,0.713662,0,0
30,0.713143,0.713143,0.713143,0,0
31,0.713073,0.713073,0.713073,0,0
32,0.714835,0.714835,0.714835,0,0
33,0.714934,0.714934,0.714934,0,0
34,0.716294,0.716294,0.716294,0,0
35,0.717330,0.717330,0.717330,0,0
36,0.718358,0.718358,0.718358,0,0
37,0.718126,0.718126,0.718126,0,0
38,0.717942,0.717942,0.717942,0,0
39,0.716810,0.716810,0.716810,0,0
40,0.715740,0.715740,0.715740,0,0
41,0.714689,0.714689,0.714689,0,0
42,0.713451,0.713451,0.713451,0,0
43,0.708151,0.708151,0.708151,0,0
44,0.695140,0.695140,0.695140,0,0
45,0.670162,0.670162,0.670162,1,1
46,0.643566,0.643566,0.643566,1,1
47,0.618946,0.618946,0.618946,1,1
48,0.600453,0.600453,0.600453,1,1
49,0.577815,0.577815,0.577815,1,1
50,0.563856,0.563856,0.563856,1,1
51,0.546877,0.546877,0.546877,1,1
52,0.536586,0.536586,0.536586,1,1
53,0.526792,0.526792,0.526792,1,1
54,0.523588,0.523588,0.523588,1,1
55,0.524045,0.524045,0.524045,1,1
56,0.532898,0.532898,0.532898,1,1
