frame_index,timestamp_sec,foot_x,foot_y,nose_y,airborne,selected_takeoff,selected_landing
0,0.000,0.22637419402599335,0.9432855844497681,0.5983337163925171,0,0,0
1,0.033,0.22077926993370056,0.9469780623912811,0.5981324315071106,0,0,0
2,0.067,0.22584450244903564,0.9500036537647247,0.5984335541725159,0,0,0
3,0.100,0.2374466434121132,0.9456279575824738,0.5965481400489807,0,0,0
4,0.133,0.252935066819191,0.952539324760437,0.5961810350418091,0,0,0
5,0.167,0.258492112159729,0.9520126581192017,0.5968576669692993,0,0,0
6,0.200,0.26812921464443207,0.9515902101993561,0.5930589437484741,0,0,0
7,0.233,0.2709527611732483,0.9510593116283417,0.5963687300682068,0,0,0
8,0.267,0.2826150357723236,0.9527524411678314,0.5951629281044006,0,0,0
9,0.300,0.28978849947452545,0.9551655948162079,0.5962241888046265,0,0,0
10,0.333,0.304769828915596,0.9538018107414246,0.5941926836967468,0,0,0
11,0.367,0.3113153874874115,0.9533760249614716,0.5939949750900269,0,0,0
12,0.400,0.3064650893211365,0.9479937255382538,0.59474116563797,0,0,0
13,0.433,0.3081618547439575,0.946405440568924,0.5954291820526123,0,0,0
14,0.467,0.3217080235481262,0.9465636312961578,0.595437228679657,0,0,0
15,0.500,,, ,0,0,0
16,0.533,0.31348368525505066,0.9351588189601898,0.594412088394165,0,0,0
17,0.567,0.3253714293241501,0.9445716738700867,0.5949839949607849,0,0,0
18,0.600,0.3355128914117813,0.9441462159156799,0.5949195623397827,0,0,0
19,0.633,0.34199486672878265,0.9480579793453217,0.5939661860466003,0,0,0
20,0.667,0.34786996245384216,0.946182131767273,0.6004199981689453,0,0,0
21,0.700,0.35992032289505005,0.9487168490886688,0.599872887134552,0,0,0
22,0.733,0.3617826849222183,0.9480783939361572,0.6007136106491089,0,0,0
23,0.767,0.3666427731513977,0.9471768736839294,0.6004005670547485,0,0,0
24,0.800,0.36952418088912964,0.8061901330947876,0.6393018960952759,0,0,0
25,0.833,,, ,0,0,0
26,0.867,0.38168661296367645,1.0348954796791077,0.6450967788696289,0,0,0
27,0.900,0.38968488574028015,1.0189298391342163,0.6366929411888123,0,0,0
28,0.933,0.40680044889450073,0.992010086774826,0.6232578158378601,0,0,0
29,0.967,0.42562152445316315,0.9714714884757996,0.6103515625,0,0,0
30,1.000,0.42686277627944946,0.9545432329177856,0.6016805768013,0,0,0
31,1.033,0.4302409589290619,0.9438256621360779,0.5937607884407043,0,0,0
32,1.067,0.4298608601093292,0.9288515448570251,0.5733607411384583,0,0,0
33,1.100,0.4344526678323746,0.9163054823875427,0.5681583881378174,0,0,0
34,1.133,0.44682203233242035,0.8206654489040375,0.48725903034210205,0,1,0
35,1.167,0.45117175579071045,0.8186222016811371,0.46183767914772034,0,0,0
36,1.200,0.46038179099559784,0.8105536103248596,0.4598172605037689,0,0,0
37,1.233,0.4653448909521103,0.815103143453598,0.4605400860309601,0,0,0
38,1.267,0.4784523993730545,0.8124882280826569,0.46253839135169983,0,0,0
39,1.300,0.48626579344272614,0.8132675886154175,0.4633003771305084,0,0,0
40,1.333,0.4981617033481598,0.8165898323059082,0.45987698435783386,0,0,0
41,1.367,0.49214768409729004,0.8266065418720245,0.4569331407546997,0,0,0
42,1.400,0.5049619674682617,0.8168703317642212,0.4622837007045746,0,0,0
43,1.433,0.5098325312137604,0.8204261362552643,0.45461174845695496,0,0,0
44,1.467,0.5157595127820969,0.8136100769042969,0.45501449704170227,0,0,0
45,1.500,0.5231412947177887,0.8127789795398712,0.46034669876098633,0,0,0
46,1.533,0.5238253027200699,0.8161399066448212,0.45816177129745483,0,0,0
47,1.567,0.5334848463535309,0.8146301507949829,0.4588480591773987,0,0,0
48,1.600,0.5379680693149567,0.8163565397262573,0.4564906358718872,0,0,0
49,1.633,0.5409928262233734,0.8077479302883148,0.45785102248191833,0,0,0
50,1.667,0.5469921231269836,0.8081007301807404,0.45154792070388794,0,0,0
51,1.700,0.5539213418960571,0.8097101449966431,0.4538053274154663,0,0,0
52,1.733,,, ,0,0,0
53,1.767,0.5613900125026703,0.9522432088851929,0.6022636890411377,0,0,1
54,1.800,0.5566625595092773,0.9418670237064362,0.587032675743103,0,0,0
55,1.833,0.5622066557407379,0.9354781806468964,0.5897216200828552,0,0,0
56,1.867,0.5750840604305267,0.9286223351955414,0.587000846862793,0,0,0
57,1.900,0.5806632936000824,0.9244067370891571,0.5774463415145874,0,0,0
58,1.933,0.5863548517227173,0.923762708902359,0.5721250176429749,0,0,0
59,1.967,0.5897885859012604,0.9164776802062988,0.564301073551178,0,0,0
60,2.000,0.5950187146663666,0.9104422032833099,0.5614262223243713,0,0,0
61,2.033,0.6002912521362305,0.9030943512916565,0.5543071627616882,0,0,0
62,2.067,0.6117219626903534,0.8974087536334991,0.5473974943161011,0,0,0
63,2.100,0.6140237152576447,0.8950500786304474,0.5420325994491577,0,0,0
64,2.133,0.6243023574352264,0.8911798596382141,0.5358752012252808,0,0,0
65,2.167,0.6301983296871185,0.8869640827178955,0.5315563082695007,0,0,0
66,2.200,0.6347539126873016,0.883150577545166,0.5255140662193298,0,0,0
67,2.233,0.6429366171360016,0.8789108991622925,0.5213536024093628,0,0,0
68,2.267,,, ,0,0,0
69,2.300,0.6565323770046234,0.9460345208644867,0.5976069569587708,0,0,0
70,2.333,0.659815788269043,0.9344595968723297,0.6006602644920349,0,0,0
71,2.367,0.6705074608325958,0.9380541145801544,0.6005094051361084,0,0,0
72,2.400,0.690926730632782,0.942641019821167,0.6014758944511414,0,0,0
73,2.433,0.6987790167331696,0.9471738636493683,0.5950320959091187,0,0,0
74,2.467,0.6967083811759949,0.9460807144641876,0.5952938795089722,0,0,0
75,2.500,,, ,0,0,0
76,2.533,0.6965937912464142,0.9583417177200317,0.5929915308952332,0,0,0
77,2.567,0.6984273493289948,0.9571722745895386,0.5931234359741211,0,0,0
78,2.600,0.7054629325866699,0.9522744119167328,0.5964561700820923,0,0,0
79,2.633,0.7172340750694275,0.9439034163951874,0.5976603031158447,0,0,0
80,2.667,0.7336634397506714,0.9464551508426666,0.5997751951217651,0,0,0
81,2.700,0.7396263182163239,0.9454450905323029,0.6008980870246887,0,0,0
82,2.733,0.7423197031021118,0.9489205181598663,0.5969992876052856,0,0,0
83,2.767,0.755804032087326,0.949262797832489,0.5989828109741211,0,0,0
84,2.800,0.7635916173458099,0.9535430669784546,0.595274806022644,0,0,0
85,2.833,0.778456300497055,0.9505786895751953,0.596031129360199,0,0,0
86,2.867,0.7707171142101288,0.948541522026062,0.5915881991386414,0,0,0
87,2.900,0.7713246643543243,0.9484218657016754,0.5923569798469543,0,0,0
88,2.933,0.7884416580200195,0.9443563520908356,0.5958149433135986,0,0,0
89,2.967,0.7898894548416138,0.9521271586418152,0.597186803817749,0,0,0
