frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
0,0.500091,0.487409,0.166912,0.162627,,,0.6670482850074768,1,0
1,0.501380,0.488356,0.167183,0.162777,0.008119,0.004486,0.6670482850074768,1,0
2,0.503178,0.489232,0.167764,0.163025,0.017386,0.007398,0.6670482850074768,1,0
3,0.505322,0.489635,0.168330,0.163185,0.016916,0.004789,0.6670482850074768,1,0
4,0.506469,0.489796,0.168650,0.163290,0.009583,0.003154,0.6670482850074768,1,0
5,0.506061,0.490181,0.168722,0.163545,0.002134,0.007632,0.6670482850074768,1,0
6,0.505964,0.491930,0.169012,0.164118,0.008677,0.017145,0.6670482850074768,1,0
7,0.509079,0.494954,0.169478,0.164841,0.013942,0.021614,0.6670482850074768,1,0
8,0.510255,0.496683,0.170103,0.165454,0.018704,0.018354,0.6670482850074768,1,0
9,0.511591,0.497452,0.170340,0.165476,0.007086,0.000663,0.6670482850074768,1,0
10,0.511211,0.495154,0.170604,0.165294,0.007905,-0.005462,0.6670482850074768,1,0
11,0.512634,0.495039,0.171092,0.165174,0.014594,-0.003585,0.6670482850074768,1,0
12,0.515981,0.496374,0.171970,0.165468,0.026262,0.008794,0.6670482850074768,1,0
13,0.519112,0.497799,0.173309,0.166240,0.040058,0.023097,0.6670482850074768,1,0
14,0.524684,0.501988,0.174082,0.166885,0.023139,0.019288,0.6670482850074768,1,0
15,0.522942,0.502176,0.174321,0.167272,0.007157,0.011590,0.6670482850074768,1,0
16,0.521265,0.501286,0.171372,0.169392,-0.088242,0.063429,0.6670482850074768,1,0
17,0.498138,0.521069,0.169134,0.170426,-0.066931,0.030909,0.6670482850074768,1,0
18,0.502807,0.511475,0.167343,0.171230,-0.053605,0.024066,0.6670482850074768,1,0
19,0.505139,0.508526,0.168156,0.170518,0.024340,-0.021307,0.6670482850074768,1,0
20,0.505461,0.514660,0.170183,0.171187,0.060622,0.020033,0.6670482850074768,1,0
21,0.521044,0.517501,0.170913,0.174785,0.021863,0.107626,0.6670482850074768,1,0
22,0.511716,0.540903,0.171395,0.178911,0.014406,0.123443,0.6670482850074768,1,0
23,0.509794,0.551796,0.169615,0.184203,-0.053237,0.158301,0.6670482850074768,1,0
24,0.505028,0.565124,0.167928,0.188244,-0.050495,0.120920,0.6670482850074768,1,0
25,0.496525,0.577281,0.166518,0.190777,-0.042160,0.075755,0.6670482850074768,1,0
26,0.497111,0.574586,0.166212,0.191696,-0.009172,0.027498,0.6670482850074768,1,0
27,0.502269,0.573396,0.172249,0.189925,0.180604,-0.052974,0.6670482850074768,1,0
28,0.550857,0.561344,0.177187,0.189172,0.147726,-0.022542,0.6670482850074768,1,0
29,0.541552,0.567804,0.183954,0.188559,0.202463,-0.018334,0.6670482850074768,1,0
30,0.563177,0.567880,0.188071,0.189266,0.123169,0.021161,0.6670482850074768,1,0
31,0.587911,0.567710,0.195795,0.188861,0.231086,-0.012132,0.6670482850074768,1,0
32,0.611071,0.564155,0.203127,0.188346,0.219324,-0.015393,0.6670482850074768,1,0
33,0.629158,0.563249,0.208431,0.189046,0.158677,0.020950,0.6670482850074768,1,0
34,0.635647,0.574013,0.209063,0.193427,0.018927,0.131060,0.6670482850074768,1,0
35,0.616765,0.603582,0.208823,0.200661,-0.007186,0.216423,0.6670482850074768,1,0
36,0.626996,0.628357,0.208416,0.209418,-0.012191,0.261963,0.6670482850074768,1,0
37,0.631979,0.652821,0.211036,0.218798,0.078395,0.280633,0.6670482850074768,1,0
38,0.640349,0.688006,0.210609,0.227528,-0.012771,0.261162,0.6670482850074768,1,0
39,0.623154,0.706924,0.219067,0.233457,0.253028,0.177376,0.6670482850074768,1,0
40,0.708099,0.706182,0.225688,0.240069,0.198073,0.197823,0.6670482850074768,0,0
