frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
0,0.704372,0.701286,0.234700,0.233657,,,0.6733893430233001,0,0
1,0.703827,0.700658,0.234675,0.233621,-0.000745,-0.001092,0.6733893430233001,0,0
2,0.703876,0.700644,0.234648,0.233518,-0.000809,-0.003087,0.6733893430233001,0,0
3,0.704130,0.700360,0.234808,0.233558,0.004804,0.001203,0.6733893430233001,0,0
4,0.705268,0.701019,0.235150,0.233741,0.010261,0.005481,0.6733893430233001,0,0
5,0.706954,0.702289,0.235805,0.234503,0.019635,0.022856,0.6733893430233001,0,0
6,0.710020,0.707217,0.236309,0.235156,0.015141,0.019602,0.6733893430233001,0,0
7,0.709810,0.706899,0.236613,0.235620,0.009116,0.013923,0.6733893430233001,0,0
8,0.709689,0.706466,0.236572,0.235475,-0.001238,-0.004347,0.6733893430233001,0,0
9,0.709649,0.705912,0.236203,0.235354,-0.011069,-0.003626,0.6733893430233001,0,0
10,0.706490,0.705812,0.235511,0.234906,-0.020749,-0.013457,0.6733893430233001,0,0
11,0.703465,0.702429,0.234828,0.234479,-0.020501,-0.012819,0.6733893430233001,0,0
12,0.703498,0.702067,0.234461,0.234097,-0.010999,-0.011450,0.6733893430233001,0,0
13,0.703190,0.702377,0.234139,0.234065,-0.009687,-0.000955,0.6733893430233001,0,0
14,0.700558,0.702142,0.233720,0.234061,-0.012564,-0.000130,0.6733893430233001,0,0
15,0.699729,0.702028,0.233366,0.234019,-0.010605,-0.001245,0.6733893430233001,0,0
16,0.700008,0.702003,0.233207,0.234003,-0.004777,-0.000477,0.6733893430233001,0,0
17,0.699125,0.701999,0.233097,0.233975,-0.003301,-0.000843,0.6733893430233001,0,0
18,0.698739,0.701775,0.232937,0.234043,-0.004813,0.002029,0.6733893430233001,0,0
19,0.698564,0.702612,0.232775,0.234112,-0.004843,0.002064,0.6733893430233001,0,0
20,0.697673,0.702618,0.232999,0.234358,0.006706,0.007384,0.6733893430233001,0,0
21,0.700750,0.703990,0.233319,0.234508,0.009621,0.004520,0.6733893430233001,0,0
22,0.701451,0.703968,0.233757,0.234660,0.013132,0.004556,0.6733893430233001,0,0
23,0.701612,0.703985,0.233878,0.234658,0.003617,-0.000059,0.6733893430233001,0,0
24,0.701836,0.703972,0.234132,0.234818,0.007638,0.004777,0.6733893430233001,0,0
25,0.703742,0.705401,0.234860,0.235022,0.021826,0.006121,0.6733893430233001,0,0
26,0.708160,0.705822,0.236270,0.235545,0.042318,0.015699,0.6733893430233001,0,0
27,0.714531,0.708682,0.237977,0.235950,0.051186,0.012147,0.6733893430233001,0,0
28,0.719098,0.709045,0.239048,0.236360,0.032159,0.012313,0.6733893430233001,0,0
29,0.717808,0.709516,0.239327,0.236424,0.008346,0.001898,0.6733893430233001,0,0
30,0.717035,0.709252,0.239061,0.236467,-0.007956,0.001300,0.6733893430233001,0,0
31,0.716711,0.709435,0.239078,0.236712,0.000482,0.007344,0.6733893430233001,0,0
32,0.717952,0.711719,0.239158,0.237030,0.002402,0.009535,0.6733893430233001,0,0
33,0.717755,0.712112,0.239497,0.237406,0.010170,0.011303,0.6733893430233001,0,0
34,0.719762,0.712826,0.239850,0.237607,0.010614,0.006014,0.6733893430233001,0,0
35,0.721136,0.713523,0.240369,0.237849,0.015559,0.007272,0.6733893430233001,0,0
36,0.722423,0.714294,0.240618,0.238007,0.007462,0.004751,0.6733893430233001,0,0
37,0.722000,0.714251,0.240678,0.238084,0.001793,0.002292,0.6733893430233001,0,0
38,0.721674,0.714211,0.240457,0.237960,-0.006612,-0.003708,0.6733893430233001,0,0
39,0.720439,0.713181,0.240274,0.237613,-0.005502,-0.010405,0.6733893430233001,0,0
40,0.720350,0.711129,0.239895,0.237269,-0.011361,-0.010327,0.6733893430233001,0,0
41,0.718266,0.711113,0.239408,0.237010,-0.014621,-0.007775,0.6733893430233001,0,0
42,0.716053,0.710849,0.238147,0.236584,-0.037807,-0.012785,0.6733893430233001,0,0
43,0.709008,0.707294,0.235573,0.234814,-0.077231,-0.053098,0.6733893430233001,0,0
44,0.695097,0.695183,0.230335,0.230432,-0.157139,-0.131451,0.6733893430233001,0,0
45,0.668911,0.671413,0.223100,0.223316,-0.217066,-0.213502,0.6733893430233001,1,0
46,0.643888,0.643243,0.214940,0.214543,-0.244798,-0.263164,0.6733893430233001,1,0
47,0.621657,0.616234,0.207733,0.206259,-0.216202,-0.248525,0.6733893430233001,1,0
48,0.604051,0.596856,0.200774,0.198607,-0.208778,-0.229562,0.6733893430233001,1,0
49,0.581254,0.574375,0.194773,0.192366,-0.180019,-0.187249,0.6733893430233001,1,0
50,0.567652,0.560059,0.188836,0.186397,-0.178109,-0.179063,0.6733893430233001,1,0
51,0.550618,0.543137,0.184326,0.181745,-0.135308,-0.139550,0.6733893430233001,1,0
52,0.540662,0.532510,0.180432,0.177403,-0.116818,-0.130276,0.6733893430233001,1,0
53,0.532606,0.520977,0.178074,0.174585,-0.070729,-0.084534,0.6733893430233001,1,0
54,0.529399,0.517777,0.177143,0.172729,-0.027944,-0.055664,0.6733893430233001,1,0
55,0.532279,0.515810,0.177895,0.173335,0.022554,0.018157,0.6733893430233001,1,0
56,0.539373,0.526424,0.179940,0.175200,0.061356,0.055967,0.6733893430233001,1,0
57,0.547806,0.534567,0.182077,0.178051,0.064121,0.085517,0.6733893430233001,1,0
58,0.551515,0.541465,0.185526,0.182223,0.103476,0.125162,0.6733893430233001,1,0
59,0.570416,0.563972,0.190618,0.187996,0.152760,0.173187,0.6733893430233001,1,0
60,0.593634,0.586523,0.198182,0.195583,0.226913,0.227621,0.6733893430233001,1,0
61,0.619589,0.609752,0.206050,0.203240,0.236048,0.229723,0.6733893430233001,1,0
62,0.641230,0.632889,0.213942,0.211295,0.236736,0.241629,0.6733893430233001,1,0
63,0.664655,0.659012,0.220367,0.218645,0.192764,0.220507,0.6733893430233001,1,0
64,0.677418,0.675904,0.225087,0.223708,0.141602,0.151888,0.6733893430233001,0,0
65,0.683711,0.678456,0.227229,0.226144,0.064271,0.073088,0.6733893430233001,0,0
66,0.683936,0.680938,0.226831,0.226614,-0.011964,0.014087,0.6733893430233001,0,0
67,0.673829,0.680130,0.224999,0.226349,-0.054965,-0.007951,0.6733893430233001,0,0
68,0.667221,0.676070,0.222711,0.225442,-0.068620,-0.027193,0.6733893430233001,1,0
69,0.663350,0.672780,0.221328,0.224176,-0.041480,-0.037990,0.6733893430233001,1,0
70,0.661385,0.668733,0.220277,0.223158,-0.031538,-0.030539,0.6733893430233001,1,0
71,0.657760,0.666909,0.218882,0.221345,-0.041869,-0.054389,0.6733893430233001,1,0
72,0.650790,0.656463,0.216813,0.219253,-0.062049,-0.062772,0.6733893430233001,1,0
73,0.642770,0.649901,0.214503,0.216423,-0.069315,-0.084898,0.6733893430233001,1,0
74,0.636965,0.641439,0.212360,0.213540,-0.064288,-0.086478,0.6733893430233001,1,0
75,0.631503,0.630520,0.210065,0.210162,-0.068842,-0.101329,0.6733893430233001,1,0
76,0.622117,0.619502,0.207418,0.206824,-0.079405,-0.100143,0.6733893430233001,1,0
77,0.613144,0.611396,0.204253,0.203819,-0.094971,-0.090171,0.6733893430233001,1,0
78,0.603012,0.603468,0.200891,0.201062,-0.100855,-0.082700,0.6733893430233001,1,0
79,0.591861,0.594692,0.197242,0.198203,-0.109475,-0.085756,0.6733893430233001,1,0
80,0.580301,0.585670,0.193649,0.195073,-0.107764,-0.093907,0.6733893430233001,1,0
81,0.570683,0.575296,0.190236,0.191500,-0.102401,-0.107207,0.6733893430233001,1,0
82,0.561140,0.562530,0.186950,0.187808,-0.098589,-0.110733,0.6733893430233001,1,0
83,0.550725,0.552450,0.183887,0.184560,-0.091890,-0.097447,0.6733893430233001,1,0
84,0.543116,0.546062,0.180916,0.181880,-0.089124,-0.080394,0.6733893430233001,1,0
85,0.534403,0.538412,0.178249,0.179036,-0.080021,-0.085339,0.6733893430233001,1,0
86,0.526718,0.526848,0.175539,0.176353,-0.081297,-0.080472,0.6733893430233001,1,0
87,0.518727,0.521920,0.172990,0.173269,-0.076448,-0.092528,0.6733893430233001,1,0
88,0.511469,0.510654,0.170396,0.171073,-0.077844,-0.065885,0.6733893430233001,1,0
89,0.503365,0.507083,0.168135,0.168390,-0.067816,-0.080504,0.6733893430233001,1,0
90,0.498382,0.497769,0.165828,0.165984,-0.069226,-0.072170,0.6733893430233001,1,0
91,0.490701,0.489003,0.163154,0.162698,-0.080194,-0.098567,0.6733893430233001,1,0
92,0.479307,0.477513,0.159990,0.158523,-0.094923,-0.125261,0.6733893430233001,1,0
93,0.469905,0.460191,0.157247,0.154446,-0.082294,-0.122317,0.6733893430233001,1,0
94,0.466013,0.452308,0.155047,0.151379,-0.065996,-0.092016,0.6733893430233001,1,0
95,0.459508,0.449908,0.153501,0.149784,-0.046399,-0.047833,0.6733893430233001,1,0
96,0.455985,0.445841,0.151843,0.148640,-0.049741,-0.034326,0.6733893430233001,1,0
97,0.451090,0.442010,0.150218,0.147693,-0.048745,-0.028409,0.6733893430233001,1,0
98,0.444885,0.441385,0.148173,0.147091,-0.061354,-0.018069,0.6733893430233001,1,0
99,0.437579,0.440421,0.145684,0.146461,-0.074668,-0.018882,0.6733893430233001,1,0
100,0.428690,0.436345,0.143064,0.145307,-0.078578,-0.034628,0.6733893430233001,1,0
101,0.421311,0.430996,0.140527,0.143685,-0.076125,-0.048653,0.6733893430233001,1,0
102,0.414742,0.425825,0.138368,0.141790,-0.064766,-0.056859,0.6733893430233001,1,0
103,0.409260,0.419288,0.136811,0.139659,-0.046705,-0.063941,0.6733893430233001,1,0
104,0.407300,0.411814,0.135364,0.137380,-0.043411,-0.068370,0.6733893430233001,1,0
105,0.401718,0.405314,0.133570,0.135729,-0.053841,-0.049520,0.6733893430233001,1,0
106,0.393108,0.404432,0.131394,0.134329,-0.065261,-0.041987,0.6733893430233001,1,0
107,0.387721,0.399218,0.129077,0.133210,-0.069512,-0.033575,0.6733893430233001,1,0
108,0.380865,0.395242,0.126791,0.131638,-0.068587,-0.047167,0.6733893430233001,1,0
109,0.372532,0.390282,0.124005,0.130094,-0.083591,-0.046328,0.6733893430233001,1,0
110,0.362644,0.385320,0.121400,0.128571,-0.078135,-0.045668,0.6733893430233001,1,0
111,0.357424,0.381541,0.118363,0.127197,-0.091096,-0.041219,0.6733893430233001,1,0
112,0.345203,0.377916,0.114898,0.125817,-0.103976,-0.041409,0.6733893430233001,1,0
113,0.331451,0.372897,0.111138,0.124675,-0.112792,-0.034273,0.6733893430233001,1,0
114,0.323587,0.371259,0.109430,0.123405,-0.051227,-0.038085,0.6733893430233001,1,0
115,0.329835,0.366490,0.109738,0.119850,0.009240,-0.106663,0.6733893430233001,1,0
116,0.334223,0.340898,0.111258,0.116568,0.045602,-0.098459,0.6733893430233001,1,0
117,0.337267,0.341722,0.112346,0.113813,0.032634,-0.082633,0.6733893430233001,1,0
118,0.339625,0.341700,0.114098,0.114250,0.052552,0.013095,0.6733893430233001,1,0
119,0.349989,0.344826,0.115528,0.114874,0.042889,0.018723,0.6733893430233001,1,0
120,0.350134,0.347338,0.118567,0.118383,0.091186,0.105271,0.6733893430233001,1,0
121,0.366981,0.373282,0.120406,0.119997,0.055156,0.048414,0.6733893430233001,1,0
122,0.366536,0.359351,0.122253,0.122105,0.055414,0.063259,0.6733893430233001,1,0
123,,,0.122179,0.119784,-0.002227,-0.069656,0.6733893430233001,0,0
124,,,,,,,0.6733893430233001,0,0
125,,,,,,,0.6733893430233001,0,0
126,,,,,,,0.6733893430233001,0,0
127,,,,,,,0.6733893430233001,0,0
128,,,,,,,0.6733893430233001,0,0
129,,,,,,,0.6733893430233001,0,0
130,,,,,,,0.6733893430233001,0,0
131,,,,,,,0.6733893430233001,0,0
132,,,,,,,0.6733893430233001,0,0
133,,,,,,,0.6733893430233001,0,0
134,,,,,,,0.6733893430233001,0,0
135,,,,,,,0.6733893430233001,0,0
136,,,,,,,0.6733893430233001,0,0
137,,,,,,,0.6733893430233001,0,0
138,,,,,,,0.6733893430233001,0,0
139,,,,,,,0.6733893430233001,0,0
140,,,,,,,0.6733893430233001,0,0
141,,,,,,,0.6733893430233001,0,0
142,,,,,,,0.6733893430233001,0,0
143,,,,,,,0.6733893430233001,0,0
144,,,,,,,0.6733893430233001,0,0
145,,,,,,,0.6733893430233001,0,0
146,,,,,,,0.6733893430233001,0,0
147,,,,,,,0.6733893430233001,0,0
148,,,,,,,0.6733893430233001,0,0
149,,,,,,,0.6733893430233001,0,0
