frame,raw_left_ankle,raw_right_ankle,smooth_left,smooth_right,vel_left,vel_right,airborne_threshold,airborne_new,airborne_old
0,0.587985,0.590972,0.195937,0.196984,,,0.5539646899700165,0,0
1,0.587637,0.590934,0.195874,0.196965,-0.001885,-0.000580,0.5539646899700165,0,0
2,0.587245,0.590779,0.195765,0.196935,-0.003279,-0.000903,0.5539646899700165,0,0
3,0.587000,0.590700,0.195678,0.196915,-0.002585,-0.000607,0.5539646899700165,0,0
4,0.586860,0.590752,0.195610,0.196892,-0.002060,-0.000687,0.5539646899700165,0,0
5,0.586626,0.590572,0.195563,0.196938,-0.001392,0.001382,0.5539646899700165,0,0
6,0.586582,0.591116,0.195565,0.196988,0.000051,0.001503,0.5539646899700165,0,0
7,0.586876,0.591203,0.195630,0.197088,0.001962,0.002992,0.5539646899700165,0,0
8,0.587216,0.591471,0.195752,0.197188,0.003656,0.003007,0.5539646899700165,0,0
9,0.587680,0.592019,0.195885,0.197293,0.003981,0.003139,0.5539646899700165,0,0
10,0.588071,0.592146,0.196004,0.197366,0.003553,0.002190,0.5539646899700165,0,0
11,0.588282,0.592129,0.196074,0.197377,0.002098,0.000328,0.5539646899700165,0,0
12,0.588310,0.592117,0.196097,0.197373,0.000693,-0.000117,0.5539646899700165,0,0
13,0.588279,0.592111,0.196097,0.197421,0.000013,0.001451,0.5539646899700165,0,0
14,0.588286,0.592564,0.196041,0.197432,-0.001679,0.000313,0.5539646899700165,0,0
15,0.587806,0.592211,0.195709,0.197423,-0.009969,-0.000259,0.5539646899700165,0,0
16,0.585285,0.592033,0.195345,0.197364,-0.010909,-0.001788,0.5539646899700165,0,0
17,0.585010,0.592027,0.194946,0.197320,-0.011950,-0.001305,0.5539646899700165,0,0
18,0.584217,0.591819,0.194791,0.197276,-0.004639,-0.001313,0.5539646899700165,0,0
19,0.583892,0.591639,0.194631,0.197221,-0.004792,-0.001661,0.5539646899700165,0,0
20,0.583571,0.591529,0.194532,0.197059,-0.002976,-0.004854,0.5539646899700165,0,0
21,0.583324,0.590362,0.194344,0.196907,-0.005620,-0.004540,0.5539646899700165,0,0
22,0.582205,0.590276,0.194207,0.196769,-0.004114,-0.004134,0.5539646899700165,0,0
23,0.582336,0.590287,0.194084,0.196763,-0.003698,-0.000203,0.5539646899700165,0,0
